"ID","Species","SL","Arch.ID","Arch.Length","Oss.Status"
64,"danio",9.8,"cb4",0.576,"partial"
64,"danio",9.8,"cb5",0.741,"full"
65,"danio",10.4,"cb1",0.816,"partial"
65,"danio",10.4,"cb2",0.755,"partial"
65,"danio",10.4,"cb3",0.625,"partial"
65,"danio",10.4,"cb4",0.59,"partial"
65,"danio",10.4,"cb5",0.728,"full"
66,"danio",12,"cb1",0.846,"partial"
66,"danio",12,"cb2",0.81,"partial"
66,"danio",12,"cb3",0.69,"partial"
66,"danio",12,"cb5",0.793,"full"
67,"danio",13,"cb1",1.13,"full"
67,"danio",13,"cb2",1.031,"full"
67,"danio",13,"cb3",0.867,"full"
67,"danio",13,"cb4",0.727,"full"
67,"danio",13,"cb5",1.09,"full"
68,"danio",13.5,"cb1",0.961,"full"
68,"danio",13.5,"cb2",0.866,"full"
68,"danio",13.5,"cb3",0.814,"full"
68,"danio",13.5,"cb4",0.807,"full"
68,"danio",13.5,"cb5",0.915,"full"
69,"danio",15.5,"cb1",1.139,"full"
69,"danio",15.5,"cb2",1.033,"full"
69,"danio",15.5,"cb3",0.867,"full"
69,"danio",15.5,"cb4",0.895,"full"
69,"danio",15.5,"cb5",0.859,"full"
70,"danio",16,"cb1",1.327,"full"
70,"danio",16,"cb2",1.2,"full"
70,"danio",16,"cb3",1.107,"full"
70,"danio",16,"cb4",0.995,"full"
70,"danio",16,"cb5",1.101,"full"
71,"danio",16.3,"cb1",0.995,"full"
71,"danio",16.3,"cb2",0.946,"full"
71,"danio",16.3,"cb3",1.009,"full"
71,"danio",16.3,"cb4",0.814,"full"
71,"danio",16.3,"cb5",1.049,"full"
72,"danio",18,"cb1",1.181,"full"
72,"danio",18,"cb2",1.099,"full"
72,"danio",18,"cb3",1.084,"full"
72,"danio",18,"cb4",1.018,"full"
72,"danio",18,"cb5",1.315,"full"
73,"danio",19,"cb1",1.387,"full"
73,"danio",19,"cb2",1.288,"full"
73,"danio",19,"cb3",1.143,"full"
73,"danio",19,"cb4",0.982,"full"
73,"danio",19,"cb5",1.254,"full"
74,"danio",19.1,"cb1",1.711,"full"
74,"danio",19.1,"cb2",1.53,"full"
74,"danio",19.1,"cb3",1.454,"full"
74,"danio",19.1,"cb4",1.372,"full"
74,"danio",19.1,"cb5",1.723,"full"
75,"danio",20.2,"cb1",1.626,"full"
75,"danio",20.2,"cb2",1.356,"full"
75,"danio",20.2,"cb3",1.26,"full"
75,"danio",20.2,"cb4",0.99,"full"
75,"danio",20.2,"cb5",1.473,"full"
76,"danio",21.1,"cb1",1.469,"full"
76,"danio",21.1,"cb2",1.509,"full"
76,"danio",21.1,"cb3",1.408,"full"
76,"danio",21.1,"cb4",1.235,"full"
76,"danio",21.1,"cb5",1.73,"full"
77,"danio",21.4,"cb1",1.735,"full"
77,"danio",21.4,"cb2",1.638,"full"
77,"danio",21.4,"cb3",1.484,"full"
77,"danio",21.4,"cb4",1.135,"full"
77,"danio",21.4,"cb5",1.444,"full"
78,"danio",21.8,"cb1",1.903,"full"
78,"danio",21.8,"cb2",1.545,"full"
78,"danio",21.8,"cb3",1.504,"full"
78,"danio",21.8,"cb4",1.331,"full"
78,"danio",21.8,"cb5",1.629,"full"
79,"danio",22.5,"cb1",1.758,"full"
79,"danio",22.5,"cb2",1.64,"full"
79,"danio",22.5,"cb3",1.432,"full"
79,"danio",22.5,"cb4",1.238,"full"
79,"danio",22.5,"cb5",1.677,"full"
80,"danio",22.7,"cb1",1.799,"full"
80,"danio",22.7,"cb2",1.578,"full"
80,"danio",22.7,"cb3",1.492,"full"
80,"danio",22.7,"cb4",1.271,"full"
80,"danio",22.7,"cb5",1.755,"full"
81,"danio",23.4,"cb1",1.785,"full"
81,"danio",23.4,"cb2",1.562,"full"
81,"danio",23.4,"cb3",1.522,"full"
81,"danio",23.4,"cb4",1.278,"full"
81,"danio",23.4,"cb5",1.686,"full"
82,"danio",23.4,"cb1",1.928,"full"
82,"danio",23.4,"cb2",1.802,"full"
82,"danio",23.4,"cb3",1.417,"full"
82,"danio",23.4,"cb4",1.185,"full"
82,"danio",23.4,"cb5",1.716,"full"
83,"danio",23.7,"cb1",1.855,"full"
83,"danio",23.7,"cb2",1.759,"full"
83,"danio",23.7,"cb3",1.554,"full"
83,"danio",23.7,"cb4",1.272,"full"
83,"danio",23.7,"cb5",1.737,"full"
84,"danio",24.3,"cb1",1.787,"full"
84,"danio",24.3,"cb2",1.484,"full"
84,"danio",24.3,"cb3",1.372,"full"
84,"danio",24.3,"cb4",1.219,"full"
84,"danio",24.3,"cb5",1.818,"full"
85,"danio",24.5,"cb1",2.084,"full"
85,"danio",24.5,"cb2",1.816,"full"
85,"danio",24.5,"cb3",1.606,"full"
85,"danio",24.5,"cb4",1.472,"full"
85,"danio",24.5,"cb5",1.852,"full"
86,"danio",25.2,"cb1",1.963,"full"
86,"danio",25.2,"cb2",1.722,"full"
86,"danio",25.2,"cb3",1.604,"full"
86,"danio",25.2,"cb4",1.525,"full"
86,"danio",25.2,"cb5",1.909,"full"
87,"danio",28,"cb1",2.238,"full"
87,"danio",28,"cb2",2.024,"full"
87,"danio",28,"cb3",1.803,"full"
87,"danio",28,"cb4",1.39,"full"
87,"danio",28,"cb5",2.144,"full"
88,"danio",28.6,"cb1",2.28,"full"
88,"danio",28.6,"cb2",2.028,"full"
88,"danio",28.6,"cb3",1.801,"full"
88,"danio",28.6,"cb4",1.661,"full"
88,"danio",28.6,"cb5",2.128,"full"
89,"danio",29.5,"cb1",2.067,"full"
89,"danio",29.5,"cb2",1.968,"full"
89,"danio",29.5,"cb3",1.762,"full"
89,"danio",29.5,"cb4",1.352,"full"
89,"danio",29.5,"cb5",1.911,"full"
90,"danio",30.4,"cb1",2.364,"full"
90,"danio",30.4,"cb2",2.098,"full"
90,"danio",30.4,"cb3",2.037,"full"
90,"danio",30.4,"cb4",1.721,"full"
90,"danio",30.4,"cb5",2.495,"full"
91,"danio",30.5,"cb1",2.31,"full"
91,"danio",30.5,"cb2",2.159,"full"
91,"danio",30.5,"cb3",1.915,"full"
91,"danio",30.5,"cb4",1.62,"full"
91,"danio",30.5,"cb5",2.062,"full"
92,"danio",30.5,"cb1",2.597,"full"
92,"danio",30.5,"cb2",2.378,"full"
92,"danio",30.5,"cb3",2.243,"full"
92,"danio",30.5,"cb4",2.069,"full"
92,"danio",30.5,"cb5",2.881,"full"
93,"danio",31.2,"cb1",2.6,"full"
93,"danio",31.2,"cb2",2.343,"full"
93,"danio",31.2,"cb3",2.07,"full"
93,"danio",31.2,"cb4",1.513,"full"
93,"danio",31.2,"cb5",2.452,"full"
94,"danio",31.5,"cb1",2.676,"full"
94,"danio",31.5,"cb2",2.401,"full"
94,"danio",31.5,"cb3",2.268,"full"
94,"danio",31.5,"cb4",1.952,"full"
94,"danio",31.5,"cb5",2.374,"full"
95,"danio",31.9,"cb1",2.562,"full"
95,"danio",31.9,"cb2",2.243,"full"
95,"danio",31.9,"cb3",1.96,"full"
95,"danio",31.9,"cb4",1.483,"full"
95,"danio",31.9,"cb5",2.09,"full"
96,"danio",32.8,"cb1",2.277,"full"
96,"danio",32.8,"cb2",2.031,"full"
96,"danio",32.8,"cb3",1.878,"full"
96,"danio",32.8,"cb4",1.572,"full"
96,"danio",32.8,"cb5",2.357,"full"
97,"danio",33,"cb1",2.746,"full"
97,"danio",33,"cb2",2.464,"full"
97,"danio",33,"cb3",2.166,"full"
97,"danio",33,"cb4",1.65,"full"
97,"danio",33,"cb5",2.451,"full"
"NA","molitrix",15,"cb4",3.4,"full"
"NA","molitrix",18,"cb4",4.2,"full"
"NA","molitrix",20,"cb4",3.6,"full"
"NA","molitrix",25,"cb4",5.8,"full"
"NA","molitrix",30,"cb4",6.4,"full"
"NA","molitrix",40,"cb4",13,"full"
"NA","molitrix",50,"cb4",17.3,"full"
"NA","molitrix",40,"cb4",9.8,"full"
"NA","molitrix",70,"cb4",18.6,"full"
"NA","molitrix",90,"cb4",23.4,"full"
