Species,SL,Arch.ID,Arch.Length,Oss.Status,Arch.Type
anchoa,28,cb3,1.917,ossified,cerato
anchoa,28,cb4,1.772,ossified,cerato
anchoa,28,cb5,1.704,ossified,cerato
anchoa,29,cb1,4.232,ossified,cerato
anchoa,29,cb2,3.186,ossified,cerato
anchoa,29,cb3,2.344,ossified,cerato
anchoa,29,cb4,2.111,ossified,cerato
anchoa,29,cb5,1.977,ossified,cerato
anchoa,30,cb1,3.437,ossified,cerato
anchoa,30,cb2,2.517,ossified,cerato
anchoa,30,cb3,1.83,ossified,cerato
anchoa,30,cb4,1.625,ossified,cerato
anchoa,30,cb5,1.53,ossified,cerato
anchoa,31,cb1,3.804,ossified,cerato
anchoa,31,cb2,2.65,ossified,cerato
anchoa,31,cb3,2.119,ossified,cerato
anchoa,31,cb4,1.79,ossified,cerato
anchoa,31,cb5,1.585,ossified,cerato
anchoa,32,cb1,4.083,ossified,cerato
anchoa,32,cb2,3.068,ossified,cerato
anchoa,32,cb3,2.245,ossified,cerato
anchoa,32,cb4,1.889,ossified,cerato
anchoa,32,cb5,1.835,ossified,cerato
anchoa,33,cb1,4.578,ossified,cerato
anchoa,33,cb2,3.424,ossified,cerato
anchoa,33,cb3,2.388,ossified,cerato
anchoa,33,cb4,2.251,ossified,cerato
anchoa,33,cb5,1.996,ossified,cerato
anchoa,34,cb1,3.635,ossified,cerato
anchoa,34,cb2,2.623,ossified,cerato
anchoa,34,cb3,1.993,ossified,cerato
anchoa,34,cb4,1.66,ossified,cerato
anchoa,34,cb5,1.486,ossified,cerato
anchoa,37,cb1,4.136,ossified,cerato
anchoa,37,cb2,2.877,ossified,cerato
anchoa,37,cb3,2.313,ossified,cerato
anchoa,37,cb4,2.025,ossified,cerato
anchoa,37,cb5,1.964,ossified,cerato
anchoa,40,cb1,3.172,ossified,cerato
anchoa,40,cb2,2.255,ossified,cerato
anchoa,40,cb3,1.619,ossified,cerato
anchoa,40,cb4,1.692,ossified,cerato
anchoa,40,cb5,1.41,ossified,cerato
anchoa,43,cb1,3.426,ossified,cerato
anchoa,43,cb2,2.666,ossified,cerato
anchoa,43,cb3,1.711,ossified,cerato
anchoa,43,cb4,1.828,ossified,cerato
anchoa,43,cb5,1.414,ossified,cerato
anchoa,46,cb1,4.693,ossified,cerato
anchoa,46,cb2,3.082,ossified,cerato
anchoa,46,cb3,2.262,ossified,cerato
anchoa,46,cb4,2.06,ossified,cerato
anchoa,46,cb5,1.782,ossified,cerato
anchoa,54,cb1,3.743,ossified,cerato
anchoa,54,cb2,2.846,ossified,cerato
anchoa,54,cb3,2.305,ossified,cerato
anchoa,54,cb4,2.066,ossified,cerato
anchoa,54,cb5,1.837,ossified,cerato
anchoa,57,cb1,6.875,ossified,cerato
anchoa,57,cb2,4.994,ossified,cerato
anchoa,57,cb3,3.536,ossified,cerato
anchoa,57,cb4,3.38,ossified,cerato
anchoa,59,cb1,3.557,ossified,cerato
anchoa,59,cb2,2.829,ossified,cerato
anchoa,59,cb3,2.138,ossified,cerato
anchoa,59,cb4,1.852,ossified,cerato
anchoa,59,cb5,1.719,ossified,cerato
anchoa,62,cb1,4.644,ossified,cerato
anchoa,62,cb2,3.24,ossified,cerato
anchoa,62,cb3,2.573,ossified,cerato
anchoa,62,cb4,2.304,ossified,cerato
anchoa,62,cb5,2,ossified,cerato
anchoa,64,cb1,3.961,ossified,cerato
anchoa,64,cb2,3.131,ossified,cerato
anchoa,64,cb3,2.312,ossified,cerato
anchoa,64,cb4,2.052,ossified,cerato
anchoa,64,cb5,2.197,ossified,cerato
brevoortia,20,cb1,2.205,cartilage,cerato
brevoortia,20,cb2,1.998,cartilage,cerato
brevoortia,20,cb3,1.683,cartilage,cerato
brevoortia,20,cb4,1.455,cartilage,cerato
brevoortia,20,cb5,1.328,cartilage,cerato
brevoortia,22,cb1,1.509,cartilage,cerato
brevoortia,22,cb2,1.421,cartilage,cerato
brevoortia,22,cb3,1.276,cartilage,cerato
brevoortia,22,cb4,1.062,cartilage,cerato
brevoortia,22,cb5,0.944,cartilage,cerato
brevoortia,23.5,cb1,1.905,cartilage,cerato
brevoortia,23.5,cb2,1.732,cartilage,cerato
brevoortia,23.5,cb3,1.638,cartilage,cerato
brevoortia,23.5,cb4,1.208,cartilage,cerato
brevoortia,23.5,cb5,1.218,cartilage,cerato
brevoortia,24.5,cb1,1.685,cartilage,cerato
brevoortia,24.5,cb2,1.576,cartilage,cerato
brevoortia,24.5,cb3,1.345,cartilage,cerato
brevoortia,24.5,cb4,1.158,cartilage,cerato
brevoortia,24.5,cb5,1.075,partial,cerato
brevoortia,25,cb1,2.198,ossified,cerato
brevoortia,25,cb2,1.997,ossified,cerato
brevoortia,25,cb3,1.847,ossified,cerato
brevoortia,25,cb4,1.598,ossified,cerato
brevoortia,25,cb5,1.505,ossified,cerato
brevoortia,25,cb1,1.526,cartilage,cerato
brevoortia,25,cb2,1.378,cartilage,cerato
brevoortia,25,cb3,1.239,cartilage,cerato
brevoortia,25,cb4,0.978,cartilage,cerato
brevoortia,25,cb5,0.935,partial,cerato
brevoortia,26,cb1,1.871,ossified,cerato
brevoortia,26,cb2,1.686,ossified,cerato
brevoortia,26,cb3,1.597,ossified,cerato
brevoortia,26,cb4,1.359,ossified,cerato
brevoortia,26,cb5,1.263,ossified,cerato
brevoortia,27,cb1,1.754,ossified,cerato
brevoortia,27,cb2,1.709,ossified,cerato
brevoortia,27,cb3,1.717,ossified,cerato
brevoortia,27,cb4,1.335,ossified,cerato
brevoortia,27,cb5,1.201,ossified,cerato
brevoortia,27,cb1,1.491,ossified,cerato
brevoortia,27,cb2,1.377,ossified,cerato
brevoortia,27,cb3,1.185,ossified,cerato
brevoortia,27,cb4,0.892,ossified,cerato
brevoortia,27,cb5,0.801,ossified,cerato
brevoortia,28,cb1,1.676,ossified,cerato
brevoortia,28,cb2,1.658,ossified,cerato
brevoortia,28,cb3,1.574,ossified,cerato
brevoortia,28,cb4,1.227,ossified,cerato
brevoortia,28,cb5,1.08,ossified,cerato
brevoortia,29,cb1,1.652,ossified,cerato
brevoortia,29,cb2,1.632,ossified,cerato
brevoortia,29,cb3,1.495,ossified,cerato
brevoortia,29,cb4,1.177,ossified,cerato
brevoortia,29,cb5,1.019,ossified,cerato
brevoortia,30,cb1,1.91,ossified,cerato
brevoortia,30,cb2,1.704,ossified,cerato
brevoortia,30,cb3,1.541,ossified,cerato
brevoortia,30,cb4,1.298,ossified,cerato
brevoortia,30,cb5,1.189,ossified,cerato
brevoortia,32,cb1,2.063,ossified,cerato
brevoortia,32,cb2,1.748,ossified,cerato
brevoortia,32,cb3,1.694,ossified,cerato
brevoortia,32,cb4,1.437,ossified,cerato
brevoortia,32,cb5,1.259,ossified,cerato
brevoortia,33,cb1,3.125,ossified,cerato
brevoortia,33,cb2,2.469,ossified,cerato
brevoortia,33,cb3,2.295,ossified,cerato
brevoortia,33,cb4,1.924,ossified,cerato
brevoortia,33,cb5,1.91,ossified,cerato
brevoortia,37,cb1,2.384,ossified,cerato
brevoortia,37,cb2,1.956,ossified,cerato
brevoortia,37,cb3,1.959,ossified,cerato
brevoortia,37,cb4,1.602,ossified,cerato
brevoortia,37,cb5,1.518,ossified,cerato
brevoortia,37,cb1,2.346,ossified,cerato
brevoortia,37,cb2,2.026,ossified,cerato
brevoortia,37,cb3,1.824,ossified,cerato
brevoortia,37,cb4,1.51,ossified,cerato
brevoortia,37,cb5,1.434,ossified,cerato
brevoortia,40,cb1,3.192,ossified,cerato
brevoortia,40,cb2,2.659,ossified,cerato
brevoortia,40,cb3,2.835,ossified,cerato
brevoortia,40,cb4,2.28,ossified,cerato
brevoortia,40,cb5,1.811,ossified,cerato
brevoortia,42,cb1,2.71,ossified,cerato
brevoortia,42,cb2,2.506,ossified,cerato
brevoortia,42,cb3,2.389,ossified,cerato
brevoortia,42,cb4,1.987,ossified,cerato
brevoortia,42,cb5,1.919,ossified,cerato
brevoortia,44,cb1,5.548,ossified,cerato
brevoortia,44,cb2,6.676,ossified,cerato
brevoortia,44,cb3,7.158,ossified,cerato
brevoortia,44,cb4,4.793,ossified,cerato
brevoortia,44,cb5,3.848,ossified,cerato
brevoortia,48,cb1,3.75,ossified,cerato
brevoortia,48,cb2,3.042,ossified,cerato
brevoortia,48,cb3,2.997,ossified,cerato
brevoortia,48,cb4,2.501,ossified,cerato
brevoortia,48,cb5,2.224,ossified,cerato
brevoortia,49,cb1,4.032,ossified,cerato
brevoortia,49,cb2,2.421,ossified,cerato
brevoortia,49,cb3,3.175,ossified,cerato
brevoortia,49,cb4,2.857,ossified,cerato
brevoortia,49,cb5,2.335,ossified,cerato
brevoortia,51,cb1,4.642,ossified,cerato
brevoortia,51,cb2,3.709,ossified,cerato
brevoortia,51,cb3,3.432,ossified,cerato
brevoortia,51,cb4,2.275,ossified,cerato
brevoortia,51,cb5,2.28,ossified,cerato
brevoortia,53,cb1,6.944,ossified,cerato
brevoortia,53,cb2,8.248,ossified,cerato
brevoortia,53,cb3,9.102,ossified,cerato
brevoortia,53,cb4,6.495,ossified,cerato
brevoortia,86,cb1,11.232,ossified,cerato
brevoortia,86,cb2,13.256,ossified,cerato
brevoortia,86,cb3,14.653,ossified,cerato
brevoortia,86,cb4,9.672,ossified,cerato
brevoortia,86,cb5,8.076,ossified,cerato
danio,7.17,cb1,0.684,partial,cerato
danio,7.17,cb2,0.591,partial,cerato
danio,7.17,cb3,0.485,partial,cerato
danio,7.17,cb4,0.498,partial,cerato
danio,7.17,cb5,0.37,ossified,cerato
danio,9.8,cb1,0.754,partial,cerato
danio,9.8,cb2,0.678,partial,cerato
danio,9.8,cb3,0.574,partial,cerato
danio,9.8,cb4,0.576,partial,cerato
danio,9.8,cb5,0.741,ossified,cerato
danio,10.4,cb1,0.816,partial,cerato
danio,10.4,cb2,0.755,partial,cerato
danio,10.4,cb3,0.625,partial,cerato
danio,10.4,cb4,0.59,partial,cerato
danio,10.4,cb5,0.728,ossified,cerato
danio,12,cb1,0.846,partial,cerato
danio,12,cb2,0.81,partial,cerato
danio,12,cb3,0.69,partial,cerato
danio,12,cb5,0.793,ossified,cerato
danio,13,cb1,1.13,ossified,cerato
danio,13,cb2,1.031,ossified,cerato
danio,13,cb3,0.867,ossified,cerato
danio,13,cb4,0.727,ossified,cerato
danio,13,cb5,1.09,ossified,cerato
danio,13.5,cb1,0.961,ossified,cerato
danio,13.5,cb2,0.866,ossified,cerato
danio,13.5,cb3,0.814,ossified,cerato
danio,13.5,cb4,0.807,ossified,cerato
danio,13.5,cb5,0.915,ossified,cerato
danio,15.5,cb1,1.139,ossified,cerato
danio,15.5,cb2,1.033,ossified,cerato
danio,15.5,cb3,0.867,ossified,cerato
danio,15.5,cb4,0.895,ossified,cerato
danio,15.5,cb5,0.859,ossified,cerato
danio,16,cb1,1.327,ossified,cerato
danio,16,cb2,1.2,ossified,cerato
danio,16,cb3,1.107,ossified,cerato
danio,16,cb4,0.995,ossified,cerato
danio,16,cb5,1.101,ossified,cerato
danio,16.3,cb1,0.995,ossified,cerato
danio,16.3,cb2,0.946,ossified,cerato
danio,16.3,cb3,1.009,ossified,cerato
danio,16.3,cb4,0.814,ossified,cerato
danio,16.3,cb5,1.049,ossified,cerato
danio,18,cb1,1.181,ossified,cerato
danio,18,cb2,1.099,ossified,cerato
danio,18,cb3,1.084,ossified,cerato
danio,18,cb4,1.018,ossified,cerato
danio,18,cb5,1.315,ossified,cerato
danio,19,cb1,1.387,ossified,cerato
danio,19,cb2,1.288,ossified,cerato
danio,19,cb3,1.143,ossified,cerato
danio,19,cb4,0.982,ossified,cerato
danio,19,cb5,1.254,ossified,cerato
danio,19.1,cb1,1.711,ossified,cerato
danio,19.1,cb2,1.53,ossified,cerato
danio,19.1,cb3,1.454,ossified,cerato
danio,19.1,cb4,1.372,ossified,cerato
danio,19.1,cb5,1.723,ossified,cerato
danio,20.2,cb1,1.626,ossified,cerato
danio,20.2,cb2,1.356,ossified,cerato
danio,20.2,cb3,1.26,ossified,cerato
danio,20.2,cb4,0.99,ossified,cerato
danio,20.2,cb5,1.473,ossified,cerato
danio,21.1,cb1,1.469,ossified,cerato
danio,21.1,cb2,1.509,ossified,cerato
danio,21.1,cb3,1.408,ossified,cerato
danio,21.1,cb4,1.235,ossified,cerato
danio,21.1,cb5,1.73,ossified,cerato
danio,21.4,cb1,1.735,ossified,cerato
danio,21.4,cb2,1.638,ossified,cerato
danio,21.4,cb3,1.484,ossified,cerato
danio,21.4,cb4,1.135,ossified,cerato
danio,21.4,cb5,1.444,ossified,cerato
danio,21.8,cb1,1.903,ossified,cerato
danio,21.8,cb2,1.545,ossified,cerato
danio,21.8,cb3,1.504,ossified,cerato
danio,21.8,cb4,1.331,ossified,cerato
danio,21.8,cb5,1.629,ossified,cerato
danio,22.5,cb1,1.758,ossified,cerato
danio,22.5,cb2,1.64,ossified,cerato
danio,22.5,cb3,1.432,ossified,cerato
danio,22.5,cb4,1.238,ossified,cerato
danio,22.5,cb5,1.677,ossified,cerato
danio,22.7,cb1,1.799,ossified,cerato
danio,22.7,cb2,1.578,ossified,cerato
danio,22.7,cb3,1.492,ossified,cerato
danio,22.7,cb4,1.271,ossified,cerato
danio,22.7,cb5,1.755,ossified,cerato
danio,23.4,cb1,1.785,ossified,cerato
danio,23.4,cb2,1.562,ossified,cerato
danio,23.4,cb3,1.522,ossified,cerato
danio,23.4,cb4,1.278,ossified,cerato
danio,23.4,cb5,1.686,ossified,cerato
danio,23.4,cb1,1.928,ossified,cerato
danio,23.4,cb2,1.802,ossified,cerato
danio,23.4,cb3,1.417,ossified,cerato
danio,23.4,cb4,1.185,ossified,cerato
danio,23.4,cb5,1.716,ossified,cerato
danio,23.7,cb1,1.855,ossified,cerato
danio,23.7,cb2,1.759,ossified,cerato
danio,23.7,cb3,1.554,ossified,cerato
danio,23.7,cb4,1.272,ossified,cerato
danio,23.7,cb5,1.737,ossified,cerato
danio,24.3,cb1,1.787,ossified,cerato
danio,24.3,cb2,1.484,ossified,cerato
danio,24.3,cb3,1.372,ossified,cerato
danio,24.3,cb4,1.219,ossified,cerato
danio,24.3,cb5,1.818,ossified,cerato
danio,24.5,cb1,2.084,ossified,cerato
danio,24.5,cb2,1.816,ossified,cerato
danio,24.5,cb3,1.606,ossified,cerato
danio,24.5,cb4,1.472,ossified,cerato
danio,24.5,cb5,1.852,ossified,cerato
danio,25.2,cb1,1.963,ossified,cerato
danio,25.2,cb2,1.722,ossified,cerato
danio,25.2,cb3,1.604,ossified,cerato
danio,25.2,cb4,1.525,ossified,cerato
danio,25.2,cb5,1.909,ossified,cerato
danio,28,cb1,2.238,ossified,cerato
danio,28,cb2,2.024,ossified,cerato
danio,28,cb3,1.803,ossified,cerato
